Sample in Buffer,Sample in Window,TRIGGER,EXP_IBUF[15:0]
168,40,0,ffef
169,41,0,ffef
170,42,0,ffef
171,43,0,ffef
172,44,0,ffef
173,45,0,ffef
174,46,0,ffef
175,47,0,ffef
176,48,0,ffef
177,49,0,ffef
178,50,0,ffef
179,51,0,ffef
180,52,0,ffef
181,53,0,ffef
182,54,0,ffef
183,55,0,ffef
184,56,0,ffef
185,57,0,ffef
186,58,0,ffef
187,59,0,ffef
188,60,0,ffef
189,61,0,ffef
190,62,0,ffef
191,63,1,ffef
192,0,0,ffef
193,1,0,ffef
194,2,0,ffef
195,3,0,ffef
196,4,0,ffef
197,5,0,ffef
198,6,0,ffef
199,7,0,ffef
200,8,0,ffef
201,9,0,ffef
202,10,0,ffef
203,11,0,ffef
204,12,0,ffef
205,13,0,ffef
206,14,0,ffef
207,15,0,ffef
208,16,0,ffef
209,17,0,ffef
210,18,0,ffef
211,19,0,ffef
212,20,0,ffef
213,21,0,ffef
214,22,0,ffef
215,23,0,ffef
216,24,0,ffef
217,25,0,ffef
218,26,0,ffef
219,27,0,ffef
220,28,0,ffef
221,29,0,ffef
222,30,0,ffef
223,31,0,ffef
224,32,0,ffef
225,33,0,ffef
226,34,0,ffef
227,35,0,ffef
228,36,0,ffef
229,37,0,ffef
230,38,0,ffef
231,39,0,ffef
232,40,0,ffef
233,41,0,ffef
234,42,0,ffef
235,43,0,ffef
236,44,0,ffef
237,45,0,ffef
238,46,0,ffef
239,47,0,ffef
240,48,0,ffef
241,49,0,ffef
242,50,0,ffef
243,51,0,ffef
244,52,0,ffef
245,53,0,ffef
246,54,0,ffef
247,55,0,ffef
248,56,0,ffef
249,57,0,ffef
250,58,0,ffef
251,59,0,ffef
252,60,0,ffef
253,61,0,ffef
254,62,0,ffef
255,63,1,ffef
256,0,0,ffef
257,1,0,ffef
258,2,0,ffef
259,3,0,ffef
260,4,0,ffef
261,5,0,ffef
262,6,0,ffef
263,7,0,ffef
264,8,0,ffef
265,9,0,ffef
266,10,0,ffef
267,11,0,ffef
268,12,0,ffef
269,13,0,ffef
270,14,0,ffef
271,15,0,ffef
272,16,0,ffef
273,17,0,ffef
274,18,0,ffef
275,19,0,ffef
276,20,0,ffef
277,21,0,ffef
278,22,0,ffef
279,23,0,ffef
280,24,0,ffef
281,25,0,ffef
282,26,0,ffef
283,27,0,ffef
284,28,0,ffef
285,29,0,ffef
286,30,0,ffef
287,31,0,ffef
288,32,0,ffef
289,33,0,ffef
290,34,0,ffef
291,35,0,ffef
292,36,0,ffef
293,37,0,ffef
294,38,0,ffef
295,39,0,ffef
296,40,0,ffef
297,41,0,ffef
298,42,0,ffef
299,43,0,ffef
300,44,0,ffef
301,45,0,ffef
302,46,0,ffef
303,47,0,ffef
304,48,0,ffef
305,49,0,ffef
306,50,0,ffef
307,51,0,ffef
308,52,0,ffef
309,53,0,ffef
310,54,0,ffef
311,55,0,ffef
312,56,0,ffef
313,57,0,ffef
314,58,0,ffef
315,59,0,ffef
316,60,0,ffef
317,61,0,ffef
318,62,0,ffef
319,63,1,ffef
320,0,0,ffef
321,1,0,ffef
322,2,0,ffef
323,3,0,ffef
324,4,0,ffef
325,5,0,ffef
326,6,0,ffef
327,7,0,ffef
328,8,0,ffef
329,9,0,ffef
330,10,0,ffef
331,11,0,ffef
332,12,0,ffef
333,13,0,ffef
334,14,0,ffef
335,15,0,ffef
336,16,0,ffef
337,17,0,ffef
338,18,0,ffef
339,19,0,ffef
340,20,0,ffef
341,21,0,ffef
342,22,0,ffef
343,23,0,ffef
344,24,0,ffef
345,25,0,ffef
346,26,0,ffef
347,27,0,ffef
348,28,0,ffef
349,29,0,ffef
350,30,0,ffef
351,31,0,ffef
352,32,0,ffef
353,33,0,ffef
354,34,0,ffef
